,rates
AED,3.986996
AFN,96.605721
ALL,116.416785
AMD,429.711079
ANG,1.955796
AOA,547.369265
ARS,202.51207
AUD,1.539908
AWG,1.953825
AZN,1.83955
BAM,1.94785
BBD,2.191113
BDT,115.138529
BGN,1.953266
BHD,0.409226
BIF,2239.842745
BMD,1.085458
BND,1.424371
BOB,7.498545
BRL,5.554293
BSD,1.085149
BTC,4.7574418e-05
BTN,88.397061
BWP,13.894911
BYN,2.739079
BYR,21274.978342
BZD,2.187428
CAD,1.452615
CDF,2219.218374
CHF,1.003614
CLF,0.031766
CLP,876.499136
CNY,7.325541
COP,4995.47346
CRC,601.622492
CUC,1.085458
CUP,28.764639
CVE,110.629751
CZK,23.84621
DJF,192.907509
DKK,7.438323
DOP,61.49128
DZD,147.354242
EGP,32.654935
ERN,16.281871
ETB,58.22652
EUR,1.0
FJD,2.364399
FKP,0.877154
GBP,0.877929
GEL,2.854491
GGP,0.877154
GHS,13.595399
GIP,0.877154
GMD,67.077539
GNF,9343.933547
GTQ,8.51874
GYD,228.969843
HKD,8.505872
HNL,26.763233
HRK,7.64401
HTG,161.59523
HUF,390.03721
IDR,16296.579137
ILS,3.757779
IMP,0.877154
INR,88.552216
IQD,1583.475386
IRR,45806.330518
ISK,152.908474
JEP,0.877154
JMD,166.738137
JOD,0.76992
JPY,141.343991
KES,135.052903
KGS,93.512451
KHR,4461.232911
KMF,492.092557
KPW,976.937003
KRW,1335.080747
KWD,0.331456
KYD,0.904291
KZT,498.97121
LAK,18275.114412
LBP,1644.799796
LKR,397.179359
LRD,170.145547
LSL,18.680483
LTL,3.205075
LVL,0.656583
LYD,5.156726
MAD,11.022455
MDL,20.304633
MGA,4635.701618
MKD,61.636185
MMK,2278.897475
MNT,3766.943755
MOP,8.757164
MRO,387.508347
MUR,48.253026
MVR,16.672563
MWK,1114.593448
MXN,20.375894
MYR,4.609947
MZN,69.284526
NAD,18.680868
NGN,499.755895
NIO,39.652187
NOK,10.830294
NPR,141.435218
NZD,1.677532
OMR,0.417926
PAB,1.085149
PEN,4.169224
PGK,3.823752
PHP,59.245931
PKR,292.535359
PLN,4.711965
PYG,8020.829751
QAR,3.952425
RON,4.913087
RSD,117.386855
RUB,75.889789
RWF,1173.277893
SAR,4.074801
SBD,8.916407
SCR,15.396966
SDG,632.28315
SEK,11.288699
SGD,1.426329
SHP,1.495108
SLE,21.361106
SLL,21057.886675
SOS,618.179392
SRD,34.792168
STD,22466.790697
SVC,9.495013
SYP,2726.729753
SZL,18.812316
THB,35.570715
TJS,11.150117
TMT,3.809958
TND,3.310601
TOP,2.507839
TRY,20.418337
TTD,7.371666
TWD,32.647863
TZS,2531.287974
UAH,39.866177
UGX,4002.111911
USD,1.085458
UYU,42.29492
UZS,12300.404195
VEF,2369703.75026
VES,23.554376
VND,25478.414752
VUV,125.050334
WST,2.877967
XAF,653.283627
XAG,0.045942
XAU,0.000564
XCD,2.933505
XDR,0.803213
XOF,653.274636
XPF,119.614237
YER,271.801079
ZAR,18.891367
ZMK,9770.428122
ZMW,20.645145
ZWL,349.517058
